Date, Tournament, Round, HomeTeam, AwayTeam, Referee, HomeGoals, AwayGoals, HomeShots, AwayShots, HomeTarget, AwayTarget, HomeCorners, AwayCorners, HomeFouls, AwayFouls, HomeYellows, AwayYellows, HomeReds, AwayReds, HomexG, AwayxG, OddsW1, OddsX, OddsW2, OddsOver2.5, OddsUnder2.5, OddsBttsYes, OddsBttsNo, LineCorners, OverCorners, UnderCorners, LineCards, OverCards, UnderCards, LineShots, OverShots, UnderShots, LineTarget, OverTarget, UnderTarget, HomeElo, AwayElo, ApplyHome
2022-11-30, World Cup, Group Stage, Arabia Saudita, México, , 1, 2, 10, 26, 2, 11, 1, 8, 20, 18, 6, 1, 0, 0, 1.11, 2.30, 5.50, 4.20, 1.56, 1.90, 1.90, 2.00, 1.75, , , , , , , , , , , , , 1665, 1793, false
2022-11-30, World Cup, Group Stage, Túnez, Francia, , 1, 0, 5, 10, 3, 3, 7, 8, 14, 6, 1, 0, 0, 0, 0.50, 0.81, 5.75, 3.80, 1.62, 2.10, 1.72, 2.05, 1.70, , , , , , , , , , , , , 1962, 2045, false
2022-11-30, World Cup, Group Stage, Australia, Dinamarca, , 1, 0, 8, 13, 4, 3, 2, 6, 11, 10, 2, 1, 0, 0, 0.59, 0.65, 7.00, 5.00, 1.40, 1.90, 1.90, 2.20, 1.61, , , , , , , , , , , , , 1735, 1928, false
2022-11-29, World Cup, Group Stage, Gales, Inglaterra, , 0, 3, 7, 18, 1, 7, 1, 6, 16, 9, 2, 0, 0, 0, 0.35, 2.46, 9.00, 4.33, 1.40, 2.00, 1.80, 2.20, 1.61, , , , , , , , , , , , , 1741, 1943, false
2022-11-29, World Cup, Group Stage, Irán, Estados Unidos, , 0, 1, 4, 12, 1, 5, 1, 5, 14, 10, 3, 1, 0, 0, 0.42, 1.18, 4.20, 3.40, 1.90, 2.20, 1.66, 2.00, 1.75, , , , , , , , , , , , , 1810, 1808, false
2022-11-29, World Cup, Group Stage, Catar, Países Bajos, , 0, 2, 5, 13, 3, 4, 2, 4, 9, 19, 0, 1, 0, 0, 0.14, 1.61, 15.00, 7.00, 1.18, 1.50, 2.62, 2.05, 1.70, , , , , , , , , , , , , 1588, 2036, true
2022-11-29, World Cup, Group Stage, Ecuador, Senegal, , 1, 2, 9, 14, 4, 3, 3, 6, 23, 11, 0, 1, 0, 0, 0.93, 2.14, 2.45, 3.00, 3.25, 2.75, 1.44, 2.10, 1.66, , , , , , , , , , , , , 1884, 1728, false
2022-11-28, World Cup, Group Stage, Portugal, Uruguay, , 2, 0, 15, 11, 3, 3, 6, 2, 10, 16, 3, 2, 0, 0, 1.33, 1.27, 1.91, 3.30, 4.50, 2.30, 1.61, 2.00, 1.75, , , , , , , , , , , , , 2009, 1923, false
2022-11-28, World Cup, Group Stage, Brasil, Suiza, , 1, 0, 13, 6, 5, 0, 8, 3, 10, 17, 1, 1, 0, 0, 1.02, 0.30, 1.50, 4.20, 7.50, 2.10, 1.72, 2.20, 1.61, , , , , , , , , , , , , 2185, 1910, false
2022-11-28, World Cup, Group Stage, Corea del Sur, Ghana, , 2, 3, 22, 7, 7, 3, 12, 5, 13, 9,  2, 2, 0, 0, 1.80, 1.68, 2.75, 3.10, 2.75, 2.37, 1.57, 2.00, 1.75, , , , , , , , , , , , , 1798, 1560, false
2022-11-28, World Cup, Group Stage, Camerún, Serbia, , 3, 3, 13, 15, 8, 5, 4, 3, 8, 13, 2, 2, 0, 0, 2.29, 1.88, 5.00, 3.80, 1.70, 2.00, 1.80, 1.95, 1.80, , , , , , , , , , , , , 1598, 1882, false
2022-11-27, World Cup, Group Stage, España, Alemania, Danny Makkelie, 1, 1, 7, 11, 3, 4, 6, 5, 13, 11, 1, 3, 0, 0, 0.57, 1.22, 2.50, 3.50, 2.75, 1.80, 2.00, 1.61, 2.20, , , , , , , , , , , , , 2069, 1918, false
2022-11-27, World Cup, Group Stage, Croacia, Canadá, , 4, 1, 13, 8, 10, 2, 5, 2, 13, 5, 2, 2, 0, 0, 2.62, 0.45, 2.25, 3.25, 3.50, 2.20, 1.66, 1.90, 1.90, , , , , , , , , , , , , 1913, 1762, false
2022-11-27, World Cup, Group Stage, Bélgica, Marruecos, , 0, 2, 10, 10, 3, 4, 9, 1, 10, 14, 1, 1, 0, 0, 0.96, 1.48, 1.91, 3.50, 4.20, 2.30, 1.61, 2.05, 1.70, , , , , , , , , , , , , 2019, 1777, false
2022-11-27, World Cup, Group Stage, Japón, Costa Rica, , 0, 1, 13, 4, 3, 1, 5, 0, 22, 9, 3, 3, 0, 0, 0.88, 0.11, 1.45, 4.33, 7.50, 2.00, 1.80, 2.20, 1.61, , , , , , , , , , , , , 1836, 1723, false
2022-11-26, World Cup, Group Stage, Argentina, México, , 2, 0, 5, 4, 2, 1, 4, 2, 15, 19, 1, 4, 0, 0, 0.32, 0.27, 1.60, 3.75, 6.50, 2.10, 1.72, 2.20, 1.61, , , , , , , , , , , , , 2086, 1808, false
2022-11-26, World Cup, Group Stage, Francia, Dinamarca, , 2, 1, 21, 10, 7, 2, 6, 4, 4, 9, 1, 2, 0, 0, 2.42, 0.64, 1.80, 3.60, 4.50, 2.10, 1.72, 1.95, 1.80, , , , , , , , , , , , , 2021, 1952, false
2022-11-26, World Cup, Group Stage, Polonia, Arabia Saudita, , 2, 0, 9, 16, 3, 5, 4, 5, 18, 15, 3, 2, 0, 0, 1.56, 1.73, 1.70, 3.60, 5.25, 2.30, 1.61, 2.20, 1.61, , , , , , , , , , , , , 1813, 1693, false
2022-11-26, World Cup, Group Stage, Túnez, Australia, , 0, 1, 14, 9, 4, 2, 5, 2, 16, 15, 3, 0, 0, 0, 0.94, 0.61, 2.15, 3.30, 3.60, 2.30, 1.61, 2.00, 1.75, , , , , , , , , , , , , 1724, 1703, false
2022-11-25, World Cup, Group Stage, Inglaterra, Estados Unidos, , 0, 0, 8, 10, 3, 1, 3, 7, 9, 15, 0, 0, 0, 0, 0.77, 0.63, 1.45, 4.20, 8.00, 2.10, 1.72, 2.25, 1.57, , , , , , , , , , , , , 1956, 1795, false
2022-11-25, World Cup, Group Stage, Países Bajos, Ecuador, , 1, 1, 2, 15, 1, 4, 2, 5, 15, 12, 0, 1, 0, 0, 0.10, 1.68, 1.85, 3.30, 4.75, 2.37, 1.57, 2.10, 1.66, , , , , , , , , , , , , 2050, 1870, false
2022-11-25, World Cup, Group Stage, Catar, Senegal, , 1, 3, 10, 13, 3, 5, 6, 6, 7, 12, 3, 3, 0, 0, 0.96, 0.75, 5.25, 3.60, 1.70, 2.30, 1.61, 2.20, 1.61, , , , , , , , , , , , , 1642, 1674, true
2022-11-25, World Cup, Group Stage, Gales, Irán, , 0, 2, 10, 21, 3, 6, 2, 7, 9, 10, 1, 2, 1, 0, 0.89, 1.47, 2.10, 3.20, 3.80, 2.50, 1.53, 2.05, 1.70, , , , , , , , , , , , , 1790, 1761, false
2022-11-24, World Cup, Group Stage, Brasil, Serbia, , 2, 0, 23, 5, 9, 0, 6, 4, 7, 12, 0, 3, 0, 0, 2.43, 0.18, 1.44, 4.33, 7.00, 1.80, 2.00, 1.95, 1.80, , , , , , , , , , , , , 2201, 1898, false
2022-11-24, World Cup, Group Stage, Portugal, Ghana, , 3, 2, 11, 9, 5, 3, 3, 3, 14, 19, 2, 4, 0, 0, 2.00, 0.93, 1.28, 5.25, 10.00, 1.72, 2.10, 2.20, 1.61, , , , , , , , , , , , , 2005, 1564, false
2022-11-24, World Cup, Group Stage, Uruguay, Corea del Sur, , 0, 0, 10, 7, 1, 0, 4, 3, 7, 10, 1, 1, 0, 0, 0.59, 0.64, 1.75, 3.50, 5.00, 2.20, 1.66, 2.05, 1.70, , , , , , , , , , , , , 1935, 1786, false
2022-11-24, World Cup, Group Stage, Suiza, Camerún, Facundo Tello, 1, 0, 7, 8, 3, 5, 11, 5, 12, 10, 2, 1, 0, 0, 1.44, 0.74, 1.75, 3.40, 5.00, 2.30, 1.61, 2.05, 1.70, , , , , , , , , , , , , 1901, 1607, false
2022-11-23, World Cup, Group Stage, Bélgica, Canadá, , 1, 0, 9, 22, 3, 3, 4, 4, 11, 14, 3, 2, 0, 0, 0.77, 2.63, 1.60, 4.00, 5.75, 1.80, 2.00, 1.80, 1.95, , , , , , , , , , , , , 2006, 1775, false
2022-11-23, World Cup, Group Stage, España, Costa Rica, , 7, 0, 17, 0, 8, 0, 5, 0, 8, 12, 0, 2, 0, 0, 3.53, 0.00, 1.13, 9.00, 17.00, 1.50, 2.62, 2.62, 1.44, , , , , , , , , , , , , 2049, 1743, false
2022-11-23, World Cup, Group Stage, Alemania, Japón, , 1, 2, 26, 12, 9, 4, 6, 6, 6, 14, 0, 0, 0, 0, 3.09, 1.46, 1.40, 5.00, 7.50, 1.57, 2.37, 1.80, 1.95, , , , , , , , , , , , , 1962, 1788, false
2022-11-23, World Cup, Group Stage, Marruecos, Japón, , 0, 0, 8, 5, 2, 2, 0, 5, 16, 11, 1, 0, 0, 0, 0.37, 0.52, 3.40, 3.25, 2.25, 2.20, 1.66, 1.95, 1.80, , , , , , , , , , , , , 1764, 1926, false
2022-11-22, World Cup, Group Stage, Francia, Australia, , 4, 1, 23, 4, 7, 1, 8, 1, 5, 11, 0, 3, 0, 0, 4.21, 0.52, 1.18, 7.00, 15.00, 1.57, 2.37, 2.50, 1.50, , , , , , , , , , , , , 2004, 1720, false
2022-11-22, World Cup, Group Stage, México, Polonia, , 0, 0, 11, 6, 4, 2, 6, 5, 14, 15, 2, 1, 0, 0, 0.72, 0.94, 2.45, 3.10, 3.20, 2.37, 1.57, 2.00, 1.75, , , , , , , , , , , , , 1808, 1813, false
2022-11-22, World Cup, Group Stage, Dinamarca, Túnez, , 0, 0, 11, 13, 5, 1, 11, 9, 9, 10, 2, 1, 0, 0, 1.60, 0.92, 1.56, 4.00, 6.00, 2.10, 1.72, 2.20, 1.61, , , , , , , , , , , , , 1971, 1705, false
2022-11-22, World Cup, Group Stage, Argentina, Arabia Saudita, , 1, 2, 15, 3, 6, 2, 9, 2, 7, 21, 0, 6, 0, 0, 2.26, 0.15, 1.10, 8.50, 23.00, 1.57, 2.37, 3.00, 1.36, , , , , , , , , , , , , 2147, 1636, false
2022-11-21, World Cup, Group Stage, Estados Unidos, Gales, , 1, 1, 6, 7, 1, 3, 5, 3, 15, 10, 4, 2, 0, 0, 0.79, 1.55, 2.45, 3.10, 3.20, 2.30, 1.61, 1.95, 1.80, , , , , , , , , , , , , 1796, 1789, false
2022-11-21, World Cup, Group Stage, Senegal, Países Bajos, , 0, 2, 15, 10, 4, 3, 6, 7, 13, 13, 2, 1, 0, 0, 0.89, 0.67, 5.50, 3.60, 1.66, 2.20, 1.66, 2.20, 1.61, , , , , , , , , , , , , 1684, 2040, false
2022-11-21, World Cup, Group Stage, Inglaterra, Irán, , 6, 2, 13, 8, 7, 3, 8, 0, 9, 14, 0, 2, 0, 0, 2.11, 1.75, 1.35, 4.75, 9.00, 2.30, 1.61, 2.75, 1.40, , , , , , , , , , , , , 1919, 1798, false
2022-11-20, World Cup, Group Stage, Catar, Ecuador, , 0, 2, 5, 6, 0, 3, 1, 3, 15, 15, 4, 2, 0, 0, 0.32, 1.18, 3.75, 3.00, 2.20, 2.62, 1.50, 2.05, 1.70, 8.5, 2.10, 1.66, 3.5, 1.80, 1.90, , , , , , , 1680, 1908, true

2026-03-31, World Cup, Playoff, Bosnia y Herzegovina, Italia, , 1, 1, 25, 6, 10, 2, 7, 2, 14, 6, 1, 1, 0, 1, , , 6.50, 3.70, 1.57, 1.85, 1.90, 2.00, 1.75, , , , , , , , , , , , , 1584, 1866, true
2026-03-31, World Cup, Playoff, República Checa, Dinamarca, , 1, 1, 5, 18, 2, 5, 4, 3, 18, 9, 1, 1, 0, 0, , , 3.80, 3.20, 2.00, 1.90, 1.85, 1.73, 2.05, , , , , , , , , , , , , 1723, 1873, true
2026-03-31, World Cup, Playoff, Kosovo, Turquía, , 0, 1, 11, 12, 2, 3, 3, 2, 12, 10, 3, 5, 0, 0, 1.08, 1.62, 3.80, 3.50, 1.90, 1.95, 1.83, 1.80, 1.95, , , , , , , , , , , , , 1738, 1886, true
2026-03-31, World Cup, Playoff, Suecia, Polonia, , 3, 2, 9, 15, 5, 7, 2, 9, 15, 15, 2, 3, 0, 0, 1.50, 1.36, 1.95, 3.25, 4.00, 2.00, 1.80, 1.77, 2.00, , , , , , , , , , , , , 1702, 1746, true
